img_group,mapped_txt_group,sim_i2t,sim_sym
0,0,0.09558609873056412,0.07235212624073029
1,1,0.06301054358482361,0.05213496834039688
2,2,0.09656419605016708,0.08982845395803452
3,3,0.08842337131500244,0.06851609796285629
