img_group,txt_group,sim_i2t
0,0,0.09558609873056412
0,1,0.07392163574695587
0,2,0.0844368115067482
0,3,0.09823776036500931
1,0,0.08373519778251648
1,1,0.06301054358482361
1,2,0.07378453016281128
1,3,0.08597151935100555
2,0,0.09198331087827682
2,1,0.06473804265260696
2,2,0.09656419605016708
2,3,0.09693009406328201
3,0,0.08568967133760452
3,1,0.0644846111536026
3,2,0.07552492618560791
3,3,0.08842337131500244
