img_group,txt_group,sim_sym
0,0,0.07235212624073029
0,1,0.05901678651571274
0,2,0.0767735093832016
0,3,0.07351507991552353
1,0,0.06460712850093842
1,1,0.05213496834039688
1,2,0.06902928650379181
1,3,0.06638733297586441
2,0,0.07179644703865051
2,1,0.054121848195791245
2,2,0.08982845395803452
2,3,0.07853800803422928
3,0,0.06644643098115921
3,1,0.053369395434856415
3,2,0.07057617604732513
3,3,0.06851609796285629
