img_group,txt_group,sim_t2i
0,0,0.04911816120147705
0,1,0.044111937284469604
0,2,0.069110207259655
0,3,0.04879239946603775
1,0,0.04547906666994095
1,1,0.041259393095970154
1,2,0.06427405029535294
1,3,0.04680314660072327
2,0,0.0516095794737339
2,1,0.043505653738975525
2,2,0.08309271186590195
2,3,0.06014592573046684
3,0,0.0472031906247139
3,1,0.04225417971611023
3,2,0.06562742590904236
3,3,0.04860882833600044
